Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,816.26,873.61,813.63,848.5,20675800,848.5
2004-02-02,850.28,890.51,834.7,883.42,505900,883.42
2004-03-02,892.57,910.67,822.05,880.5,453600,880.5
2004-04-01,878.78,939.52,854.39,862.84,20795400,862.84
2004-05-03,863.03,876.3,716.95,803.84,370400,803.84
2004-06-01,807.55,820.87,729.06,785.79,400700,785.79
2004-07-01,784.85,792.77,717.77,735.34,371700,735.34
2004-08-02,730.61,815.05,713.99,803.57,331200,803.57
2004-09-01,803.51,863.19,801.58,835.09,394500,835.09
2004-10-01,835.5,896.24,801.01,834.84,335900,834.84
2004-11-01,832.52,891.71,831.32,878.06,306300,878.06
2004-12-01,874.47,896.1,838.1,895.92,316300,895.92
2005-01-03,896,934.1,866.17,932.7,416900,932.7
2005-02-01,930.16,1011.65,918.44,1011.36,535100,1011.36
2005-03-02,1015.16,1025.08,946.41,965.68,611800,965.68
2005-04-01,963.78,996.9,902.88,911.3,443800,911.3
2005-05-02,916.48,972.17,910.72,970.21,329600,970.21
2005-06-01,964.08,1010.91,963.78,1008.16,429600,1008.16
2005-07-01,1003.56,1113.43,1002.38,1111.29,674700,1111.29
2005-08-01,1113.9,1137.46,1055.54,1083.33,455000,1083.33
2005-09-01,1093.47,1238.72,1092.14,1221.01,456900,1221.01
2005-10-04,1228.03,1246.41,1137.23,1158.11,501200,1158.11
2005-11-01,1165.77,1300.88,1165.31,1297.44,491400,1297.44
2005-12-01,1295.56,1383.14,1288.98,1379.37,513100,1379.37
2006-01-02,1383.32,1426.21,1285.63,1399.83,505500,1399.83
2006-02-01,1390.43,1398.19,1299.73,1371.59,375400,1371.59
2006-03-02,1377.46,1379.3,1296.78,1359.6,338500,1359.6
2006-04-03,1362.35,1458.67,1361.14,1419.73,360700,1419.73
2006-05-02,1419.64,1464.7,1295.47,1317.7,276000,1317.7
2006-06-01,1308.44,1319.05,1192.09,1295.15,223000,1295.15
2006-07-03,1294.57,1316.12,1231.05,1297.82,196800,1297.82
2006-08-01,1296.71,1361.48,1277.31,1352.74,217800,1352.74
2006-09-01,1354.77,1378.99,1323.9,1371.41,261500,1371.41
2006-10-02,1370.27,1380.91,1303.62,1364.55,266400,1364.55
2006-11-01,1372.03,1434.85,1363.71,1432.21,245500,1432.21
2006-12-01,1433.4,1445.51,1373.03,1434.46,232500,1434.46
2007-01-02,1438.89,1439.71,1345.08,1360.23,201400,1360.23
2007-02-01,1367.07,1471.04,1362.04,1417.34,247600,1417.34
2007-03-02,1407.19,1459.69,1375.84,1452.55,290400,1452.55
2007-04-02,1456.19,1565.03,1452.56,1542.24,388800,1542.24
2007-05-02,1550.39,1702.01,1546.6,1700.91,439900,1700.91
2007-06-01,1712.97,1813.84,1707.75,1743.6,516000,1743.6
2007-07-02,1741.41,2015.48,1736.63,1933.27,509400,1933.27
2007-08-01,1920.07,1928.64,1626.87,1873.24,408200,1873.24
2007-09-03,1876.92,1952.39,1805.88,1946.48,442300,1946.48
2007-10-01,1948.78,2070.86,1875.23,2064.85,456500,2064.85
2007-11-01,2085.33,2085.45,1745.26,1906,350400,1906
2007-12-03,1907.95,1972.37,1808.86,1897.13,314800,1897.13
2008-01-02,1891.45,1892.5,1570.87,1624.68,302400,1624.68
2008-02-01,1645.05,1739.6,1619.65,1711.62,338000,1711.62
2008-03-03,1676.3,1709.31,1537.53,1703.99,303200,1703.99
2008-04-01,1701.64,1831.84,1694.53,1825.47,303700,1825.47
2008-05-02,1851.64,1901.13,1791.4,1852.02,326900,1852.02
2008-06-02,1848.3,1853.5,1669.69,1674.92,328700,1674.92
2008-07-01,1675.7,1681.45,1488.75,1594.67,306000,1594.67
2008-08-01,1578.55,1597.31,1466.46,1474.24,25641500,1474.24
2008-09-01,1453.14,1503.83,1366.88,1448.06,413200,1448.06
2008-10-01,1453.4,1458.68,892.16,1113.06,497500,1113.06
2008-11-03,1117.13,1217.82,914.02,1076.07,587900,1076.07
2008-12-01,1074,1201.14,997,1124.47,512800,1124.47
2009-01-02,1132.87,1228.56,1085.72,1162.11,399900,1162.11
2009-02-02,1145.87,1227.73,1036.67,1063.03,542100,1063.03
2009-03-02,1044.28,1256.7,992.69,1206.26,544800,1206.26
2009-04-01,1214.06,1377.82,1201.71,1369.36,768500,1369.36
2009-05-04,1386.02,1436.92,1315.21,1395.89,741500,1395.89
2009-06-01,1394.92,1437.76,1350.31,1390.07,519300,1390.07
2009-07-01,1386.33,1559.07,1377.6,1557.29,481900,1557.29
2009-08-03,1561.94,1616.29,1530.65,1591.85,531700,1591.85
2009-09-01,1592.29,1723.17,1583.11,1673.14,496000,1673.14
2009-10-01,1680.46,1685.01,1564.41,1580.69,378400,1580.69
2009-11-02,1543.24,1630.41,1519.4,1555.6,295100,1555.6
2009-12-01,1550.35,1695.33,1541.09,1682.77,364900,1682.77
2010-01-04,1681.71,1723.22,1595.39,1602.43,482600,1602.43
2010-02-01,1603.87,1631.71,1548.78,1594.58,396800,1594.58
2010-03-02,1612.43,1705.57,1608.97,1692.85,432000,1692.85
2010-04-01,1695.3,1757.76,1695.3,1741.56,440300,1741.56
2010-05-03,1735.68,1740.15,1532.68,1641.25,413200,1641.25
2010-06-01,1634.55,1741.48,1618.57,1698.29,352000,1698.29
2010-07-01,1687,1778.72,1650.3,1759.33,381700,1759.33
2010-08-02,1771.38,1797.42,1716.86,1742.75,343600,1742.75
2010-09-01,1751.96,1873.79,1748.3,1872.81,350000,1872.81
2010-10-01,1872.39,1924.61,1837.08,1882.95,387300,1882.95
2010-11-01,1889.57,1976.46,1875.34,1904.63,367400,1904.63
2010-12-01,1907.7,2052.97,1904.71,2051,409800,2051
2011-01-03,2063.69,2121.06,2054.83,2069.73,401500,2069.73
2011-02-01,2079.92,2107.83,1935.93,1939.3,333900,1939.3
2011-03-02,1922.38,2106.74,1882.09,2106.7,315200,2106.7
2011-04-01,2107.67,2231.47,2081.98,2192.36,384900,2192.36
2011-05-02,2203.09,2229.09,2030.68,2142.47,326100,2142.47
2011-06-01,2142.67,2152.95,2008.84,2100.69,272800,2100.69
2011-07-01,2120.03,2192.83,2105.24,2133.21,329700,2133.21
2011-08-01,2160.09,2173.28,1684.68,1880.11,455400,1880.11
2011-09-01,1887.21,1928.4,1644.11,1769.65,402100,1769.65
2011-10-03,1683.94,1963.74,1658.06,1909.03,386300,1909.03
2011-11-01,1891.22,1932.95,1766.73,1847.51,371100,1847.51
2011-12-01,1911.5,1929.18,1750.6,1825.74,450600,1825.74
2012-01-02,1831.69,1973.35,1810.48,1955.79,453200,1955.79
2012-02-01,1948.57,2047.43,1947.46,2030.25,655400,2030.25
2012-03-02,2041.52,2057.28,1966.69,2014.04,518300,2014.04
2012-04-02,2022.42,2051.8,1954.01,1981.99,574200,1981.99
2012-05-02,1994.17,2001.11,1779.47,1843.47,498500,1843.47
2012-06-01,1832.08,1908.19,1776.85,1854.01,389100,1854.01
2012-07-02,1864.73,1896.83,1758.99,1881.99,392700,1881.99
2012-08-01,1870.58,1964.07,1843.87,1905.12,475500,1905.12
2012-09-03,1909.06,2012.74,1873.49,1996.21,787200,1996.21
2012-10-02,1998.52,2007.84,1884.77,1912.06,501600,1912.06
2012-11-01,1903.57,1941.84,1856.81,1932.9,462900,1932.9
2012-12-03,1937.28,2006.08,1928.09,1997.05,413800,1997.05
2013-01-02,2013.74,2042.48,1930.37,1961.94,513800,1961.94
2013-02-01,1964.75,2030.85,1928.75,2026.49,406800,2026.49
2013-03-04,2028.55,2033.89,1946.05,2004.89,359800,2004.89
2013-04-01,2009.94,2010.15,1888.3,1963.95,368000,1963.95
2013-05-02,1961.67,2013.29,1935.57,2001.05,332600,2001.05
2013-06-03,1993.11,2000.56,1770.53,1863.32,308200,1863.32
2013-07-01,1851.57,1920.6,1809.72,1914.03,347300,1914.03
2013-08-01,1916.56,1939.28,1838.52,1926.36,349500,1926.36
2013-09-02,1925.32,2018.02,1921.01,1996.96,298700,1996.96
2013-10-01,1997.62,2063.28,1981.21,2030.09,283700,2030.09
2013-11-01,2037.25,2050.7,1963.42,2044.87,302300,2044.87
2013-12-02,2050.45,2052.88,1947.44,2011.34,238700,2011.34
2014-01-02,2013.11,2013.89,1899.76,1941.15,251700,1941.15
2014-02-03,1930.09,1981.15,1885.53,1979.99,236700,1979.99
2014-03-03,1967.9,1989.8,1913.64,1985.61,236200,1985.61
2014-04-01,1983.78,1991.98,1976.06,1991.98,429200,1991.98
